# CP937 UTF16
# 倚天字 "碁銹裏墻恒粧嫺" 的對照表
E2D5 7881 碁
E2D6 92B9 銹
E2D7 88CF 裏
E2D8 58BB 墻
E2D9 6052 恒
E2DA 7CA7 粧
E2DB 5AFA 嫺

# 以下為上海提供的對照
D04D 60DE
D060 7B43
D07B 7456
D082 8A8E
D088 58F0
D095 5F72
D0A5 5975
D0B8 7402
D142 78B7
D14D 5059
D161 5C78
D162 7216
D166 96E7
D167 90C4
D18A 6E50
D1B2 674A
D1BC 73CE
D1F3 93BC
D241 708C
D258 8312
D26A 97E2
D27D 99B7
D284 9330
D28A 4EF9
D292 8672
D298 9B69
D29E 74CC
D29F 5FEC
D2A8 73D5
D2C2 9E18
D2DA 8542
D2DB 8602
D2E0 512F
D2EB 5CBA
D2FB 6761
D348 73C1
D362 666D
D379 9A10
D37F 5AAB
D38C 54B2
D3B1 9443
D3C1 73DF
D3D2 5ACF
D3D9 7D4D
D3E8 7D8B
D3EA 5FDB
D3F7 976D
D451 5A59
D454 7CA6
D462 5C84
D46C 5F25
D470 717E
D493 7915
D4BF 5E48
D4D1 6B1D
D4D9 5A2B
D4F1 93A0
D4F8 8A38
D565 65A6
D56D 6898
D597 8B69
D5AA 66D4
D5B0 7DE5
D5B1 93BD
D5B7 6F0B
D5C1 8AB4
D5D8 510E
D5DF 73D0
D67A 7BCD
D68A 5A22
D694 95D7
D696 5FCE
D699 8C8E
D6B0 6F1B
D6BC 932C
D6BD 9741
D6D8 917C
D6EC 732A
D6FC 5BFF
D745 6A7D
D74A 6D23
D755 9EAB
D757 59D7
D76C 7C74
D78C 7D74
D78E 8535
D790 7E92
D7DB 6ABE
